video_id,feature_name,start_time,end_time,start_frame,end_frame
P01_11,plate,00:00:00.00,00:00:01.89,1,113
P01_11,plate,00:00:01.56,00:00:02.45,93,147
P01_11,paper,00:00:49.15,00:00:50.95,2949,3057
P01_11,cloth,00:05:27.28,00:05:31.97,19636,19918
P01_11,cloth,00:05:27.37,00:05:29.86,19642,19791
P01_11,cloth,00:05:30.62,00:05:35.02,19837,20101
P01_11,counter,00:05:35.56,00:05:41.14,20133,20468
P01_11,sink,00:05:41.24,00:05:48.23,20474,20893
P01_11,sink,00:05:48.67,00:05:56.10,20920,21366
P01_11,cloth,00:05:56.18,00:05:57.82,21370,21469
P01_11,onion,00:05:57.26,00:05:59.66,21435,21579
P01_11,tap,00:06:00.50,00:06:01.77,21630,21706
P01_11,sink,00:06:02.01,00:06:08.60,21720,22116
P01_11,bin,00:00:51.60,00:00:52.49,3096,3149
P01_11,tap,00:06:07.74,00:06:08.90,22064,22134
P01_11,cloth,00:06:09.65,00:06:11.72,22179,22303
P01_11,cooker,00:06:13.15,00:06:20.94,22389,22856
P01_11,cloth,00:06:21.79,00:06:22.79,22907,22967
P01_11,bin,00:06:24.89,00:06:25.64,23093,23138
P01_11,onion,00:06:25.24,00:06:25.80,23114,23148
P01_11,bin,00:06:25.69,00:06:26.36,23141,23181
P01_11,cloth,00:06:28.20,00:06:29.28,23292,23356
P01_11,hand,00:06:28.52,00:06:32.17,23311,23530
P01_11,cloth,00:06:33.27,00:06:34.99,23596,23699
P01_11,paper,00:00:51.98,00:00:53.03,3118,3181
P01_11,hand,00:06:36.30,00:06:37.35,23778,23841
P01_11,bin,00:06:41.48,00:06:42.74,24088,24164
P01_11,bin,00:06:43.69,00:06:45.81,24221,24348
P01_11,bin,00:06:46.53,00:06:49.64,24391,24578
P01_11,bin,00:06:50.53,00:06:53.82,24631,24829
P01_11,bin,00:06:53.73,00:06:56.72,24823,25003
P01_11,bin,00:06:58.16,00:06:59.82,25089,25189
P01_11,bag,00:07:00.74,00:07:18.50,25244,26310
P01_11,bag,00:07:03.71,00:07:17.74,25422,26264
P01_11,bin,00:07:17.79,00:07:19.09,26267,26345
P01_11,bin,00:00:52.97,00:00:53.66,3178,3219
P01_11,bin,00:07:19.64,00:07:25.01,26378,26700
P01_11,bin,00:07:25.59,00:07:27.98,26735,26878
P01_11,bag,00:07:28.08,00:07:45.15,26884,27909
P01_11,bin,00:07:45.78,00:07:47.03,27946,28021
P01_11,bag,00:07:47.36,00:08:04.27,28041,29056
P01_11,bag,00:08:05.53,00:08:10.72,29131,29443
P01_11,bag:garbage,00:08:12.11,00:08:20.14,29526,30008
P01_11,bag,00:08:22.80,00:08:30.49,30168,30629
P01_11,bin,00:08:32.25,00:08:34.00,30735,30840
P01_11,bag,00:08:36.04,00:08:51.22,30962,31873
P01_11,tray,00:00:53.89,00:00:54.68,3233,3280
P01_11,lid,00:08:54.13,00:08:55.81,32047,32148
P01_11,container,00:08:54.87,00:08:57.85,32092,32271
P01_11,container,00:08:57.95,00:09:01.50,32277,32490
P01_11,fridge,00:09:01.88,00:09:04.26,32512,32655
P01_11,fridge,00:09:06.44,00:09:09.90,32786,32994
P01_11,container,00:09:10.79,00:09:12.54,33047,33152
P01_11,plate,00:09:12.89,00:09:15.39,33173,33323
P01_11,fridge,00:09:15.74,00:09:18.24,33344,33494
P01_11,spatula,00:00:55.53,00:00:56.75,3331,3405
P01_11,tray,00:00:56.71,00:00:57.71,3402,3462
P01_11,tray,00:00:58.51,00:01:00.40,3510,3624
